Rank,Optimization_Score,X,Y,Z,C,Avg_Successful_Players,Avg_Collision_Size,Avg_Contender_Count,Log_Subdir,Log_File_ID
1,4.2700,2,6,1,1,4.6700,0.4900,10.0900,C1_Z1_X2_Y6,competition_0_log.txt
2,4.1400,5,7,2,3,4.7600,0.4000,9.7800,C3_Z2_X5_Y7,competition_0_log.txt
3,4.0800,3,5,2,2,4.6600,0.5800,10.0000,C2_Z2_X3_Y5,competition_0_log.txt
4,4.0700,2,4,1,3,4.3000,0.6600,10.4300,C3_Z1_X2_Y4,competition_0_log.txt
5,4.0500,4,6,3,2,4.6300,0.3500,9.7700,C2_Z3_X4_Y6,competition_0_log.txt
6,4.0200,4,6,1,2,4.7900,0.3800,9.6100,C2_Z1_X4_Y6,competition_0_log.txt
7,3.9500,4,7,3,2,4.5600,0.3300,9.7200,C2_Z3_X4_Y7,competition_0_log.txt
8,3.9100,5,7,4,3,4.3600,0.3000,9.8500,C3_Z4_X5_Y7,competition_0_log.txt
9,3.9000,2,7,1,2,4.4300,0.3600,9.8300,C2_Z1_X2_Y7,competition_0_log.txt
10,3.8900,4,5,2,3,4.2900,0.3000,9.9000,C3_Z2_X4_Y5,competition_0_log.txt
11,3.8500,5,6,2,2,4.7900,0.3200,9.3800,C2_Z2_X5_Y6,competition_0_log.txt
12,3.8300,2,7,1,3,4.5000,0.4700,9.8000,C3_Z1_X2_Y7,competition_0_log.txt
13,3.8300,3,7,2,2,4.7000,0.3800,9.5100,C2_Z2_X3_Y7,competition_0_log.txt
14,3.8200,3,7,1,2,4.7800,0.4000,9.4400,C2_Z1_X3_Y7,competition_0_log.txt
15,3.8100,5,7,3,2,4.4600,0.2100,9.5600,C2_Z3_X5_Y7,competition_0_log.txt
16,3.8000,3,6,2,2,4.7000,0.4700,9.5700,C2_Z2_X3_Y6,competition_0_log.txt
17,3.7900,2,6,1,3,4.3300,0.5400,10.0000,C3_Z1_X2_Y6,competition_0_log.txt
18,3.7800,2,5,1,1,4.6900,0.8000,9.8900,C1_Z1_X2_Y5,competition_0_log.txt
19,3.7800,3,7,2,3,4.6200,0.4600,9.6200,C3_Z2_X3_Y7,competition_0_log.txt
20,3.7800,3,6,1,2,4.5100,0.4300,9.7000,C2_Z1_X3_Y6,competition_0_log.txt
21,3.7700,3,6,1,3,4.3300,0.3300,9.7700,C3_Z1_X3_Y6,competition_0_log.txt
22,3.7400,5,6,4,3,4.5400,0.3600,9.5600,C3_Z4_X5_Y6,competition_0_log.txt
23,3.7300,4,6,2,3,4.5700,0.5200,9.6800,C3_Z2_X4_Y6,competition_0_log.txt
24,3.7100,3,4,1,3,4.4800,0.5000,9.7300,C3_Z1_X3_Y4,competition_0_log.txt
25,3.7000,3,6,1,1,4.6600,0.4600,9.5000,C1_Z1_X3_Y6,competition_0_log.txt
26,3.6900,4,5,2,2,4.9000,0.5600,9.3500,C2_Z2_X4_Y5,competition_0_log.txt
27,3.6900,2,3,1,3,4.3800,0.7100,10.0200,C3_Z1_X2_Y3,competition_0_log.txt
28,3.6800,4,5,1,3,4.5600,0.3600,9.4800,C3_Z1_X4_Y5,competition_0_log.txt
29,3.6400,3,4,1,2,4.8500,0.6700,9.4600,C2_Z1_X3_Y4,competition_0_log.txt
30,3.6300,3,4,2,2,4.5100,0.5500,9.6700,C2_Z2_X3_Y4,competition_0_log.txt
31,3.6300,3,5,2,3,4.5000,0.5400,9.6700,C3_Z2_X3_Y5,competition_0_log.txt
32,3.6300,3,5,1,1,4.6700,0.4800,9.4400,C1_Z1_X3_Y5,competition_0_log.txt
33,3.6200,4,7,1,1,4.6400,0.3700,9.3500,C1_Z1_X4_Y7,competition_0_log.txt
34,3.6100,2,5,1,3,4.5100,0.4400,9.5400,C3_Z1_X2_Y5,competition_0_log.txt
35,3.6000,4,7,2,3,4.4900,0.3800,9.4900,C3_Z2_X4_Y7,competition_0_log.txt
36,3.6000,3,7,1,3,4.5600,0.3500,9.3900,C3_Z1_X3_Y7,competition_0_log.txt
37,3.5800,2,6,1,2,4.6500,0.5700,9.5000,C2_Z1_X2_Y6,competition_0_log.txt
38,3.5800,3,7,2,1,4.7100,0.4600,9.3300,C1_Z2_X3_Y7,competition_0_log.txt
39,3.5700,3,4,2,3,4.3900,0.5900,9.7700,C3_Z2_X3_Y4,competition_0_log.txt
40,3.5600,4,7,3,1,4.8100,0.4600,9.2100,C1_Z3_X4_Y7,competition_0_log.txt
41,3.5500,3,6,2,1,4.6700,0.4700,9.3500,C1_Z2_X3_Y6,competition_0_log.txt
42,3.5500,4,7,2,1,4.7100,0.3400,9.1800,C1_Z2_X4_Y7,competition_0_log.txt
43,3.5500,4,7,1,2,4.5700,0.2900,9.2700,C2_Z1_X4_Y7,competition_0_log.txt
44,3.5000,5,7,3,3,4.4500,0.3400,9.3900,C3_Z3_X5_Y7,competition_0_log.txt
45,3.5000,4,5,3,3,4.5300,0.5200,9.4900,C3_Z3_X4_Y5,competition_0_log.txt
46,3.5000,4,7,1,3,4.6700,0.3300,9.1600,C3_Z1_X4_Y7,competition_0_log.txt
47,3.5000,3,5,1,3,4.4200,0.7100,9.7900,C3_Z1_X3_Y5,competition_0_log.txt
48,3.4800,2,5,1,2,4.5100,0.6500,9.6200,C2_Z1_X2_Y5,competition_0_log.txt
49,3.4700,5,7,4,1,4.9000,0.5000,9.0700,C1_Z4_X5_Y7,competition_0_log.txt
50,3.4600,5,6,3,3,4.4500,0.3000,9.3100,C3_Z3_X5_Y6,competition_0_log.txt
51,3.4600,5,6,4,2,4.5500,0.2600,9.1700,C2_Z4_X5_Y6,competition_0_log.txt
52,3.4600,3,6,2,3,4.6300,0.4200,9.2500,C3_Z2_X3_Y6,competition_0_log.txt
53,3.4500,5,6,3,2,4.6100,0.4400,9.2800,C2_Z3_X5_Y6,competition_0_log.txt
54,3.4000,5,6,2,3,4.7500,0.3400,8.9900,C3_Z2_X5_Y6,competition_0_log.txt
55,3.3800,2,7,1,1,4.7100,0.4500,9.1200,C1_Z1_X2_Y7,competition_0_log.txt
56,3.3700,4,5,2,1,4.8300,0.5300,9.0700,C1_Z2_X4_Y5,competition_0_log.txt
57,3.3700,4,7,2,2,4.7700,0.2200,8.8200,C2_Z2_X4_Y7,competition_0_log.txt
58,3.3500,2,4,1,1,4.6000,0.5200,9.2700,C1_Z1_X2_Y4,competition_0_log.txt
59,3.3400,5,7,3,1,4.7400,0.3700,8.9700,C1_Z3_X5_Y7,competition_0_log.txt
60,3.3300,5,6,1,2,4.9000,0.4000,8.8300,C2_Z1_X5_Y6,competition_0_log.txt
61,3.3300,5,6,1,3,4.6100,0.4800,9.2000,C3_Z1_X5_Y6,competition_0_log.txt
62,3.3200,3,7,1,1,4.8000,0.5600,9.0800,C1_Z1_X3_Y7,competition_0_log.txt
63,3.3100,4,6,3,1,4.7300,0.4100,8.9900,C1_Z3_X4_Y6,competition_0_log.txt
64,3.3000,4,5,1,2,4.5800,0.3500,9.0700,C2_Z1_X4_Y5,competition_0_log.txt
65,3.2700,4,5,1,1,4.8500,0.4200,8.8400,C1_Z1_X4_Y5,competition_0_log.txt
66,3.2500,3,5,1,2,4.5600,0.5500,9.2400,C2_Z1_X3_Y5,competition_0_log.txt
67,3.2400,5,7,4,2,4.5300,0.3600,9.0700,C2_Z4_X5_Y7,competition_0_log.txt
68,3.2400,4,7,3,3,4.7500,0.5200,9.0100,C3_Z3_X4_Y7,competition_0_log.txt
69,3.2300,4,5,3,2,4.5300,0.5200,9.2200,C2_Z3_X4_Y5,competition_0_log.txt
70,3.2300,4,6,2,1,4.6900,0.5600,9.1000,C1_Z2_X4_Y6,competition_0_log.txt
71,3.1800,2,3,1,2,4.4900,0.7900,9.4800,C2_Z1_X2_Y3,competition_0_log.txt
72,3.1800,2,4,1,2,4.3800,0.6700,9.4700,C2_Z1_X2_Y4,competition_0_log.txt
73,3.1800,4,6,3,3,4.2800,0.4300,9.3300,C3_Z3_X4_Y6,competition_0_log.txt
74,3.1700,2,3,1,1,4.6600,0.7400,9.2500,C1_Z1_X2_Y3,competition_0_log.txt
75,3.1400,3,4,1,1,4.9300,0.5200,8.7300,C1_Z1_X3_Y4,competition_0_log.txt
76,3.1200,3,4,2,1,4.8000,0.6500,8.9700,C1_Z2_X3_Y4,competition_0_log.txt
77,3.1100,4,6,2,2,4.7400,0.9600,9.3300,C2_Z2_X4_Y6,competition_0_log.txt
78,3.0900,5,6,1,1,4.9000,0.1900,8.3800,C1_Z1_X5_Y6,competition_0_log.txt
79,3.0800,5,6,3,1,4.8400,0.3100,8.5500,C1_Z3_X5_Y6,competition_0_log.txt
80,3.0800,4,5,3,1,4.7000,0.4500,8.8300,C1_Z3_X4_Y5,competition_0_log.txt
81,3.0500,5,7,2,2,4.6400,0.3100,8.7200,C2_Z2_X5_Y7,competition_0_log.txt
82,2.9900,5,7,2,1,4.8900,0.4000,8.5000,C1_Z2_X5_Y7,competition_0_log.txt
83,2.9700,4,6,1,3,4.4700,0.5500,9.0500,C3_Z1_X4_Y6,competition_0_log.txt
84,2.9500,3,5,2,1,4.8000,0.6000,8.7500,C1_Z2_X3_Y5,competition_0_log.txt
85,2.9200,5,7,1,2,4.7800,0.4300,8.5700,C2_Z1_X5_Y7,competition_0_log.txt
86,2.8800,5,7,1,1,4.8200,0.3600,8.4200,C1_Z1_X5_Y7,competition_0_log.txt
87,2.8700,5,6,2,1,4.7000,0.3900,8.5600,C1_Z2_X5_Y6,competition_0_log.txt
88,2.8700,5,7,1,3,4.5700,0.3700,8.6700,C3_Z1_X5_Y7,competition_0_log.txt
89,2.7300,4,6,1,1,4.6700,0.4000,8.4600,C1_Z1_X4_Y6,competition_0_log.txt
90,2.6200,5,6,4,1,4.6000,0.3400,8.3600,C1_Z4_X5_Y6,competition_0_log.txt
